StudentID,Semester,Course,Hours,Grade
79,FS2021,CHEM 3050,2,D
14,FS2021,ENV 2976,3,C
34,FS2021,PSY 2904,3,B
5,FS2021,SOC 2576,3,C
73,FS2021,ME 2034,3,B
51,FS2021,POLSCI 2782,4,C
77,FS2021,SOC 2174,3,B
29,FS2021,MUS 3848,4,B
37,FS2021,ECON 3308,2,B
28,FS2021,EDU 2123,3,B
28,FS2021,EE 2866,3,B
13,FS2021,MUS 3548,4,A
37,FS2021,EDU 2950,3,A
62,FS2021,CHEM 3199,3,D
7,FS2021,PHIL 3471,3,A
32,FS2021,MATH 2786,4,C
71,FS2021,PHIL 2965,4,A
13,FS2021,PSY 2196,3,A
1,FS2021,CS 2417,2,A
52,FS2021,HIST 2575,3,C
54,FS2021,EE 2131,3,A
43,FS2021,CHEM 3093,3,B
79,FS2021,CS 2574,3,C
10,FS2021,ENG 2333,4,C
60,FS2021,CS 3870,3,A
62,FS2021,PHIL 2190,3,C
29,FS2021,CS 2758,3,A
73,FS2021,PHYS 2919,2,D
47,FS2021,ENG 3557,3,B
59,FS2021,PHIL 2508,3,A
24,FS2021,CHEM 2574,4,C
74,FS2021,BUS 3952,4,B
57,FS2021,EDU 3221,3,B
17,FS2021,EDU 3418,4,C
80,FS2021,SOC 2732,2,A
14,FS2021,ENG 3255,3,B
69,FS2021,EDU 2951,3,C
26,FS2021,CS 2812,3,A
60,FS2021,SOC 2242,2,F
80,FS2021,PSY 2569,3,C
65,FS2021,MUS 2271,3,A
55,FS2021,LAW 3071,3,D
14,FS2021,SOC 2175,2,A
13,FS2021,CS 2646,3,A
6,FS2021,BIO 3752,4,B
22,FS2021,EE 3315,3,C
56,FS2021,PSY 3521,3,C
14,FS2021,PSY 3884,4,B
46,FS2021,MATH 2496,3,B
70,FS2021,PSY 3098,4,F
2,FS2021,PHYS 2101,3,B
45,FS2021,ECON 2531,3,C
66,FS2021,ECON 2141,2,C
0,FS2021,LAW 3239,3,A
3,FS2021,EDU 2363,3,C
52,FS2021,LAW 2646,4,F
53,FS2021,EE 2542,4,B
10,FS2021,ME 3609,3,B
73,FS2021,POLSCI 2319,3,C
15,FS2021,PSY 2629,3,B
66,FS2021,PSY 2457,3,B
53,FS2021,POLSCI 2741,2,A
15,FS2021,MATH 2346,3,B
17,FS2021,PHYS 3542,3,B
68,FS2021,PHIL 2443,4,D
4,FS2021,ENV 3518,3,C
33,FS2021,POLSCI 2699,3,A
34,FS2021,LAW 2714,4,A
28,FS2021,SOC 2775,2,D
7,FS2021,EDU 2314,3,C
62,FS2021,LAW 2663,2,C
78,FS2021,POLSCI 3693,3,A
19,FS2021,ART 3095,3,F
31,FS2021,ART 2830,4,A
79,FS2021,BIO 2760,3,A
63,FS2021,PHYS 2932,3,C
4,FS2021,BUS 3258,2,F
8,FS2021,MUS 2232,3,B
32,FS2021,HIST 2329,3,C
21,FS2021,CS 2392,4,B
18,FS2021,PSY 3736,2,D
71,FS2021,ENV 3039,2,B
10,FS2021,EE 2362,3,A
23,FS2021,PSY 3522,3,A
4,FS2021,LAW 2227,2,F
3,FS2021,SOC 2130,3,C
12,FS2021,ART 3520,4,B
25,FS2021,PHYS 3044,2,C
44,FS2021,CS 2092,2,B
5,FS2021,ENG 2405,3,C
16,FS2021,CS 2383,2,C
55,FS2021,CS 2720,3,B
54,FS2021,EE 2259,3,B
43,FS2021,MATH 2674,4,C
78,FS2021,SOC 3616,2,B
70,FS2021,CS 3630,4,C
40,FS2021,PSY 2041,3,A
49,FS2021,ART 2836,3,B
1,FS2021,MATH 2457,3,A
8,FS2021,LAW 3171,3,F
27,FS2021,ENV 2105,3,D
75,FS2021,LAW 3083,3,B
69,FS2021,BUS 3925,3,B
51,FS2021,ME 3172,3,D
3,FS2021,SOC 2915,2,C
75,FS2021,ME 2544,3,F
25,FS2021,LAW 2244,3,D
67,FS2021,PHIL 2523,3,C
0,FS2021,MUS 2115,3,B
3,FS2021,ME 3088,3,A
26,FS2021,MUS 2498,2,A
11,FS2021,BIO 2799,3,C
39,FS2021,CS 2727,3,A
22,FS2021,PHYS 2171,4,A
11,FS2021,PHIL 3392,3,B
21,FS2021,HIST 2861,3,F
51,FS2021,ENV 2184,3,B
38,FS2021,POLSCI 2508,3,B
5,FS2021,ECON 2259,4,B
68,FS2021,PSY 2345,3,D
64,FS2021,POLSCI 3565,3,B
58,FS2021,HIST 2132,3,A
4,FS2021,MUS 2151,3,A
1,FS2021,ECON 2954,3,C
26,FS2021,MATH 2373,3,A
73,FS2021,EE 3030,4,B
20,FS2021,EE 2562,3,A
19,FS2021,ENG 3975,2,B
40,FS2021,ENG 2607,3,F
75,FS2021,EE 2533,3,B
22,FS2021,PHYS 3267,3,B
21,FS2021,LAW 2452,4,B
31,FS2021,CHEM 2149,4,D
49,FS2021,CS 2615,3,B
59,FS2021,LAW 2225,3,F
79,FS2021,MUS 2768,3,C
64,FS2021,ENG 2354,3,A
37,FS2021,ECON 3572,3,B
76,FS2021,ECON 2165,4,A
59,FS2021,BIO 2519,4,B
54,FS2021,EDU 2557,3,C
29,FS2021,ART 2767,4,C
65,FS2021,POLSCI 3872,3,A
