StudentID,Semester,Course,Hours,Grade
79,SP2023,ECON 4794,4,B
14,SP2023,ART 5076,3,B
33,SP2023,POLSCI 4197,3,B
5,SP2023,EE 4554,3,C
68,SP2023,EDU 4558,3,C
66,SP2023,MUS 4398,4,B
29,SP2023,PSY 4375,3,B
28,SP2023,HIST 4622,4,C
78,SP2023,PHYS 4023,3,A
29,SP2023,PHIL 4098,4,A
77,SP2023,MATH 4807,3,A
13,SP2023,CS 4413,3,A
36,SP2023,PHIL 4828,4,C
62,SP2023,EE 4094,3,B
7,SP2023,LAW 4494,3,F
26,SP2023,PHYS 4334,3,A
50,SP2023,CHEM 4485,4,B
13,SP2023,POLSCI 4367,4,B
1,SP2023,MUS 4355,4,A
51,SP2023,CS 5676,4,B
53,SP2023,POLSCI 5003,3,F
48,SP2023,ENV 5367,2,C
34,SP2023,CHEM 5536,3,C
10,SP2023,HIST 4682,2,C
26,SP2023,ME 5076,3,D
36,SP2023,PHYS 5695,2,B
27,SP2023,EE 4044,2,F
72,SP2023,SOC 4791,4,F
70,SP2023,ENV 4349,3,A
49,SP2023,BUS 4686,3,B
23,SP2023,PSY 4954,3,B
47,SP2023,CHEM 5801,3,C
56,SP2023,ME 4516,2,B
17,SP2023,BIO 5123,4,D
80,SP2023,PHIL 5159,2,A
14,SP2023,ART 4751,3,A
65,SP2023,PHYS 4263,2,A
59,SP2023,PHIL 4779,3,B
60,SP2023,CHEM 4918,3,A
80,SP2023,PHIL 4259,3,B
40,SP2023,SOC 5207,3,A
27,SP2023,EE 5641,3,B
14,SP2023,EDU 4960,3,B
13,SP2023,PHIL 4962,2,D
6,SP2023,CS 4565,3,F
21,SP2023,CS 5061,3,C
55,SP2023,LAW 5616,3,C
14,SP2023,MATH 5792,3,C
44,SP2023,ENG 5330,3,C
78,SP2023,SOC 5058,3,C
2,SP2023,CS 5288,4,C
43,SP2023,ART 4637,4,B
66,SP2023,MUS 5415,3,C
0,SP2023,BUS 4883,3,A
3,SP2023,PSY 4617,3,A
51,SP2023,PHYS 5242,3,A
52,SP2023,BIO 4849,4,B
10,SP2023,LAW 4255,3,C
64,SP2023,ECON 5433,3,A
15,SP2023,MATH 5754,3,D
45,SP2023,PHYS 4958,3,A
69,SP2023,EDU 4728,2,C
14,SP2023,ART 4164,4,D
16,SP2023,PHIL 5201,3,C
68,SP2023,PHIL 5701,4,F
4,SP2023,ME 4993,4,B
32,SP2023,PHIL 5961,4,B
34,SP2023,PSY 4411,2,C
33,SP2023,BIO 4045,3,A
8,SP2023,ME 4799,2,B
39,SP2023,EE 4402,3,A
78,SP2023,CS 4872,3,A
19,SP2023,PHYS 4568,3,C
31,SP2023,PHYS 4153,3,A
79,SP2023,EE 4136,3,B
51,SP2023,LAW 5347,4,A
4,SP2023,BUS 4811,3,A
8,SP2023,ECON 4485,4,B
71,SP2023,POLSCI 4337,3,A
21,SP2023,MUS 4821,2,A
17,SP2023,ECON 4651,3,B
71,SP2023,ME 4264,2,D
10,SP2023,BUS 5635,3,B
23,SP2023,ME 4463,3,B
4,SP2023,MATH 4494,3,B
3,SP2023,EDU 5232,3,B
12,SP2023,MUS 4341,3,B
24,SP2023,LAW 4357,2,B
41,SP2023,BIO 5956,3,B
6,SP2023,MUS 5097,3,C
15,SP2023,PSY 5931,3,C
55,SP2023,HIST 5493,4,C
39,SP2023,BIO 4104,2,D
56,SP2023,ENV 5653,4,B
78,SP2023,ART 4703,3,C
46,SP2023,EE 4464,3,F
76,SP2023,HIST 5321,3,A
67,SP2023,BIO 4330,3,C
0,SP2023,PHYS 4441,3,C
8,SP2023,ART 5564,3,B
56,SP2023,CHEM 4506,4,B
29,SP2023,CS 4833,4,B
69,SP2023,MATH 5407,2,D
